Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 1800000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Philo Beddoe,753225541,48958403,11104358,11533162,11860521,14460362,5,4,4,4,45,12,11,10,12,3,4,0,4,1,2,4,4,0,0,1,1,1,4,4,0,3,4,0,0,4,1,36,5,3,20,8,0,0,0,0,0
Loso,642554734,38869655,9904356,13758874,11566688,3639737,5,6,4,0,43,12,19,12,0,3,4,4,0,1,2,4,4,4,4,1,2,2,4,4,0,0,0,0,0,0,0,31,24,0,7,0,0,0,0,0,0
Loadage,268951863,60593831,12651511,15698217,13975116,18268987,5,6,4,6,70,16,21,15,18,3,4,4,4,1,4,4,4,4,4,1,3,4,4,4,0,4,4,4,2,3,1,9,2,2,3,2,3,0,1,1,1
s o l o,334171458,62248835,14672659,17381058,11805261,18389857,5,6,4,6,65,17,21,12,15,4,4,4,4,1,4,4,4,4,4,1,4,4,0,4,0,2,3,4,2,3,1,57,21,8,21,7,1,0,0,0,1
ilekkund,214848174,58365495,13321552,16610653,14039663,14393627,5,6,4,5,59,15,21,13,10,2,4,4,4,1,4,4,4,4,4,1,2,3,4,4,0,1,3,0,2,4,0,43,14,9,11,9,1,0,0,1,0
ilekkund2,148163689,42882882,11188091,12059878,10962860,8672053,5,6,4,5,51,16,15,11,9,4,4,4,3,1,4,4,4,0,2,1,3,4,0,4,0,1,3,0,2,3,0,28,10,4,8,6,1,0,0,1,0
Flywire,515621617,49391838,11530322,13162609,11886818,12812089,5,6,4,4,54,16,17,12,9,4,4,4,3,1,2,4,4,4,2,1,4,4,0,4,0,3,0,0,1,4,1,16,8,3,3,2,2,0,1,1,0
Raion Ren,619572297,54728302,13147027,15487514,11071468,15022293,5,6,4,6,53,14,17,12,10,2,3,4,4,1,1,3,4,4,4,1,4,4,0,4,0,1,2,3,1,2,1,17,7,4,3,3,0,0,0,0,0
MINI xipokemastrix,242144976,43722179,8660889,12432328,10895657,11733305,5,6,4,6,52,11,18,13,10,4,4,0,3,0,2,3,4,4,4,1,2,3,4,4,0,2,3,0,1,3,1,24,1,3,17,3,0,0,0,0,0
TacoPizza,797491243,42595006,7558759,12691451,10092211,12252585,5,5,2,5,46,13,16,8,9,4,4,0,4,1,4,4,4,0,3,1,4,0,0,4,0,2,3,0,1,2,1,8,2,1,2,3,0,0,0,0,0
Obi Won Sebroni,247341668,48662845,11073580,12615060,11643344,13330861,5,6,4,6,62,17,18,14,13,4,4,4,4,1,3,4,4,4,2,1,3,3,4,4,0,2,3,3,1,3,1,12,4,2,3,3,2,0,1,1,0
BigMacDbag,931355241,47331568,11290428,12066886,10967554,13006700,5,6,4,6,52,16,15,11,10,3,4,4,4,1,4,4,4,0,2,1,3,4,0,4,0,2,3,0,2,2,1,5,2,1,1,1,0,0,0,0,0
joker,976597667,33596890,9698855,11956978,5987062,5953995,5,6,3,2,38,12,15,6,5,3,4,4,0,1,2,3,3,4,2,1,2,4,0,0,0,3,0,0,0,2,0,5,2,0,1,2,0,0,0,0,0
Masajj Vemtits,596537312,44705508,11136992,13412294,10749127,9407095,5,6,3,4,50,14,17,10,9,3,4,4,2,1,2,3,4,4,3,1,2,4,4,0,0,3,0,0,2,4,0,7,2,1,2,2,0,0,0,0,0
Gryphix,997239157,55127411,12469158,15090918,11222556,16344779,5,6,4,6,61,14,19,14,14,1,4,4,4,1,3,4,4,4,3,1,2,4,4,4,0,2,3,3,2,3,1,7,1,1,3,2,0,0,0,0,0
Wolfman314,144353549,47911244,11506406,12944056,9695022,13765760,4,5,4,6,52,14,14,13,11,3,4,4,3,0,2,4,4,0,3,1,2,4,4,3,0,3,4,0,0,3,1,3,2,0,1,0,1,0,1,0,0
