name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Snake,423813339,951450,1459216,5453088,1,9,0,2909216,1459216,2,0,FALSE,TRUE,0,0,FALSE,FALSE,0,951450,0,2,3,,,,
HiddenWolf,869432175,2402906,3222054,25181429,18,40,0,10027165,5635165,4,1,TRUE,TRUE,387500,97508,TRUE,FALSE,0,0,0,1,4,4,4,,
Elros Halfelven,592184954,2542205,3456881,18873316,9,39,0,4728971,672971,3,1,FALSE,FALSE,170421,13480,FALSE,FALSE,2783910,1869234,672971,4,4,4,,,
Guntha Arbos,248271439,2420449,3437902,28870277,9,49,0,11283644,5875644,5,0,TRUE,TRUE,0,24937,TRUE,FALSE,0,0,0,4,4,4,4,,
Spectrum,411242948,1928593,2228811,24836474,21,47,0,10425950,4164950,6,1,TRUE,TRUE,32754,36754,TRUE,TRUE,0,0,0,2,4,4,4,1,0
Higgs,265535499,2127111,3052138,26212437,16,46,0,9263982,5181982,6,1,TRUE,TRUE,0,46522,TRUE,TRUE,0,0,0,3,3,3,4,0,0
Corran Horn,159984528,1772148,2605137,16044880,45,27,2,7347058,2452558,4,1,TRUE,FALSE,202010,206545,FALSE,FALSE,1924727,0,0,3,3,3,,,1
Stewabob,552522334,1276557,1766502,14725190,10,26,0,8392558,3056058,4,1,TRUE,TRUE,0,43869,FALSE,FALSE,0,0,0,3,3,4,,,1
Diesel87,626734493,1572995,2565545,23891458,35,47,1,7757722,4143722,4,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,4,4,,,
Zaphod,523832521,1856507,3023911,25221582,3,46,0,9861278,4895278,5,1,TRUE,TRUE,39961,24660,TRUE,FALSE,0,0,0,3,4,4,4,,
Kypomm,631928359,2590343,3454433,27814658,4,47,0,11829474,6050974,6,1,TRUE,TRUE,88094,42296,TRUE,TRUE,0,0,0,3,4,4,0,0,1
Dark Penguin,894569678,1668601,2178583,23535236,5,43,0,7090301,1908801,3,1,TRUE,FALSE,0,0,FALSE,TRUE,1938383,0,0,4,,,,1,1
Tommy,225191489,1062650,1974101,16459603,10,32,0,6208751,3036751,3,0,TRUE,TRUE,101613,54337,FALSE,FALSE,0,0,0,3,3,4,,,
AKB,461667365,2265625,3235659,29870077,15,49,0,12577209,5504209,6,1,TRUE,TRUE,0,75202,TRUE,TRUE,0,0,0,4,4,4,4,1,0
Argarax,545871634,1572219,2585739,13059043,18,32,0,218414,218414,0,1,FALSE,FALSE,0,127156,FALSE,FALSE,2367325,1353805,218414,,,,,,
Maxaron Lexilon,591283737,2620726,3427399,27313527,5,43,0,12596529,6063029,4,1,TRUE,TRUE,104934,39175,FALSE,TRUE,0,0,0,4,4,,,1,1
akb2,991413647,884059,1336813,11253113,10,28,0,4041804,2221804,4,0,TRUE,TRUE,0,73918,FALSE,FALSE,0,0,0,3,3,,,,
akb2,991413647,884059,1336813,11253113,10,28,0,4041804,2221804,4,0,TRUE,TRUE,0,73918,FALSE,FALSE,0,0,0,3,3,,,,
Quinton Samulson,334914382,1521682,2188451,12111433,3,21,0,4479024,2217024,2,1,FALSE,TRUE,27575,13939,FALSE,FALSE,0,1493109,0,3,4,,,,
M1TTH,124849497,1881475,2488310,17138278,5,28,0,4164183,1999683,1,1,TRUE,FALSE,0,25357,FALSE,FALSE,2370102,0,0,,,,,,1
Indeedus,636721338,1774817,2783290,16665028,6,28,0,7033386,2270886,5,1,TRUE,FALSE,44832,24640,FALSE,FALSE,2287221,0,0,1,3,4,,,1
