CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,148163689,ilekkund2,ilekkund#8475,218
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,214
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,572892187,WookieeWarrior,teepeepdx#7802,308
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,435886464,Z Xm,Z_Xm#5894,308
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,732694944,Savage1bat,⁦savage1bat⁩#7887,368
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,278
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,354754647,BladeBR,Edem#5643,308
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,843553429,Shotwell,Shotwell#0501,304
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,997239157,Gryphix,Gryphix#1116,278
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,165968689,RC1262,vaalok#4807,218
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,634487631,JacenCaedus,Sala#2238,368
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,184
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,825875376,Zlada14,zlada14#0537,124
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,932489599,MINI Azryl,Azryl#1591,338
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,513125742,MarkKenoburger,kenoburger#9903,214
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,716417922,TinyBubbles,TinyBubbles31#0228,214
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,994659641,OttoVonGens,OttoVonGens#2822,248
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,975827772,Tornado,tornado#478,248
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,545871634,Argarax,Kazrud#2235,30
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,137256197,Japolock,Japolock#2870,274
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,745483876,Foreigner,Foreigner#2714,278
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,442735849,PDXwing,PDXwing#6655,218
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,473373554,Baxston Kane,Baxston Kane#5600,278
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,736639474,Deadly F A R T,⁦Deadly F A R T⁩#1186,308
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,617569541,MINI Zan Lucian,Zan Lucian#8522,248
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,569934839,Dalu,Dalu42192#5639,154
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,259921674,BlackMamba,Jeremy#5183,60
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,938542548,Sultan2309,Sultan2309#7453,244
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,499615124,Anubis,⁦Bellhharar⁩#0560,0
