CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66326E+12,vs. HeIIskitchen,stars,975827772,Tornado,tornado#478,522
1.66326E+12,vs. HeIIskitchen,stars,545871634,Argarax,Kazrud#2235,502
1.66326E+12,vs. HeIIskitchen,stars,137256197,Japolock,Japolock#2870,480
1.66326E+12,vs. HeIIskitchen,stars,745483876,Foreigner,â¦Foreignerâ©#2714,675
1.66326E+12,vs. HeIIskitchen,stars,815682328,SotDO,SotDo#3618,498
1.66326E+12,vs. HeIIskitchen,stars,473373554,Baxston Kane,Baxston Kane#5600,276
1.66326E+12,vs. HeIIskitchen,stars,736639474,Deadly F A R T,â¦Deadly F A R Tâ©#1186,675
1.66326E+12,vs. HeIIskitchen,stars,492994246,Chaunce,Chaunce#1601,483
1.66326E+12,vs. HeIIskitchen,stars,667756347,SilentVader,SilentVader#5511,399
1.66326E+12,vs. HeIIskitchen,stars,617569541,MINI Zan Lucian,Zan Lucian#8522,494
1.66326E+12,vs. HeIIskitchen,stars,259921674,BlackMamba,Jeremy#5183,653
1.66326E+12,vs. HeIIskitchen,stars,938542548,Sultan2309,Sultan2309#7453,417
1.66326E+12,vs. HeIIskitchen,set_defense_stars,852762117,Revanchist,Revanchist#9559,428
1.66326E+12,vs. HeIIskitchen,set_defense_stars,349451219,Robbie Brady,Robbie Brady#7103,278
1.66326E+12,vs. HeIIskitchen,set_defense_stars,283842274,JustinAlexander11,JustinAlexander11#1023,462
1.66326E+12,vs. HeIIskitchen,set_defense_stars,245711569,Promethean,Promethean#3008,278
1.66326E+12,vs. HeIIskitchen,set_defense_stars,996614779,Jables,Jables#9173,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,569523671,Seeya,Seeya#2985,184
1.66326E+12,vs. HeIIskitchen,set_defense_stars,615713739,Ky Zeth,Ky Zeth#6539,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,436483225,Dr N00b,ThÉ‘É³É‘thÑ³s#6579,278
1.66326E+12,vs. HeIIskitchen,set_defense_stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,244
1.66326E+12,vs. HeIIskitchen,set_defense_stars,946916445,ExcellentNut,ExcellentNut#0656,338
1.66326E+12,vs. HeIIskitchen,set_defense_stars,114649229,Ã¬N Paca,â¦Pacaâ©#8479,278
1.66326E+12,vs. HeIIskitchen,set_defense_stars,929389526,Tommyboy85,tommyboy#3739,376
1.66326E+12,vs. HeIIskitchen,set_defense_stars,556569861,wamakima5004,wamakima5004#0097,124
1.66326E+12,vs. HeIIskitchen,set_defense_stars,753225541,Philo Beddoe,Handleman20#4805,338
1.66326E+12,vs. HeIIskitchen,set_defense_stars,268951863,Loadage,Loadage#1450,402
1.66326E+12,vs. HeIIskitchen,set_defense_stars,214848174,ilekkund,ilekkund#8475,278
1.66326E+12,vs. HeIIskitchen,set_defense_stars,148163689,ilekkund2,ilekkund#8475,248
1.66326E+12,vs. HeIIskitchen,set_defense_stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,274
1.66326E+12,vs. HeIIskitchen,set_defense_stars,619572297,Raion Ren,raion_ren#6463,612
1.66326E+12,vs. HeIIskitchen,set_defense_stars,515621617,Flywire,Flywire#0662,244
1.66326E+12,vs. HeIIskitchen,set_defense_stars,435886464,Z Xm,Z_Xm#5894,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,732694944,Savage1bat,â¦savage1batâ©#7887,552
1.66326E+12,vs. HeIIskitchen,set_defense_stars,354754647,BladeBR,Edem#5643,372
1.66326E+12,vs. HeIIskitchen,set_defense_stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,376
1.66326E+12,vs. HeIIskitchen,set_defense_stars,843553429,Shotwell,Shotwell#0501,338
1.66326E+12,vs. HeIIskitchen,set_defense_stars,997239157,Gryphix,Gryphix#1116,278
1.66326E+12,vs. HeIIskitchen,set_defense_stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,184
1.66326E+12,vs. HeIIskitchen,set_defense_stars,634487631,JacenCaedus,Sala#2238,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,691769393,Hulkster,Hulkster#4141,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,825875376,Zlada14,zlada14#0537,90
1.66326E+12,vs. HeIIskitchen,set_defense_stars,932489599,MINI Azryl,Azryl#1591,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,513125742,MarkKenoburger,kenoburger#9903,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,884121445,Nom,Nom Polustra#4120,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,716417922,TinyBubbles,TinyBubbles31#0228,218
1.66326E+12,vs. HeIIskitchen,set_defense_stars,994659641,OttoVonGens,OttoVonGens#2822,368
1.66326E+12,vs. HeIIskitchen,set_defense_stars,933247321,Epsil0n Actual,RandyCliptic#9400,338
1.66326E+12,vs. HeIIskitchen,set_defense_stars,975827772,Tornado,tornado#478,248
1.66326E+12,vs. HeIIskitchen,set_defense_stars,545871634,Argarax,Kazrud#2235,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,137256197,Japolock,Japolock#2870,244
1.66326E+12,vs. HeIIskitchen,set_defense_stars,745483876,Foreigner,â¦Foreignerâ©#2714,432
1.66326E+12,vs. HeIIskitchen,set_defense_stars,815682328,SotDO,SotDo#3618,278
1.66326E+12,vs. HeIIskitchen,set_defense_stars,473373554,Baxston Kane,Baxston Kane#5600,218
1.66326E+12,vs. HeIIskitchen,set_defense_stars,736639474,Deadly F A R T,â¦Deadly F A R Tâ©#1186,458
1.66326E+12,vs. HeIIskitchen,set_defense_stars,492994246,Chaunce,Chaunce#1601,338
1.66326E+12,vs. HeIIskitchen,set_defense_stars,667756347,SilentVader,SilentVader#5511,218
1.66326E+12,vs. HeIIskitchen,set_defense_stars,617569541,MINI Zan Lucian,Zan Lucian#8522,308
1.66326E+12,vs. HeIIskitchen,set_defense_stars,259921674,BlackMamba,Jeremy#5183,248
1.66326E+12,vs. HeIIskitchen,set_defense_stars,938542548,Sultan2309,Sultan2309#7453,244
1.66326E+12,vs. HeIIskitchen,attack_stars,852762117,Revanchist,Revanchist#9559,202
1.66326E+12,vs. HeIIskitchen,attack_stars,349451219,Robbie Brady,Robbie Brady#7103,40
1.66326E+12,vs. HeIIskitchen,attack_stars,283842274,JustinAlexander11,JustinAlexander11#1023,89
1.66326E+12,vs. HeIIskitchen,attack_stars,245711569,Promethean,Promethean#3008,179
1.66326E+12,vs. HeIIskitchen,attack_stars,996614779,Jables,Jables#9173,120
1.66326E+12,vs. HeIIskitchen,attack_stars,569523671,Seeya,Seeya#2985,127
1.66326E+12,vs. HeIIskitchen,attack_stars,615713739,Ky Zeth,Ky Zeth#6539,317
1.66326E+12,vs. HeIIskitchen,attack_stars,436483225,Dr N00b,ThÉ‘É³É‘thÑ³s#6579,371
1.66326E+12,vs. HeIIskitchen,attack_stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,187
1.66326E+12,vs. HeIIskitchen,attack_stars,946916445,ExcellentNut,ExcellentNut#0656,168
1.66326E+12,vs. HeIIskitchen,attack_stars,114649229,Ã¬N Paca,â¦Pacaâ©#8479,408
1.66326E+12,vs. HeIIskitchen,attack_stars,929389526,Tommyboy85,tommyboy#3739,238
1.66326E+12,vs. HeIIskitchen,attack_stars,556569861,wamakima5004,wamakima5004#0097,40
1.66326E+12,vs. HeIIskitchen,attack_stars,753225541,Philo Beddoe,Handleman20#4805,40
1.66326E+12,vs. HeIIskitchen,attack_stars,268951863,Loadage,Loadage#1450,176
1.66326E+12,vs. HeIIskitchen,attack_stars,214848174,ilekkund,ilekkund#8475,155
1.66326E+12,vs. HeIIskitchen,attack_stars,148163689,ilekkund2,ilekkund#8475,100
1.66326E+12,vs. HeIIskitchen,attack_stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,79
1.66326E+12,vs. HeIIskitchen,attack_stars,515621617,Flywire,Flywire#0662,74
1.66326E+12,vs. HeIIskitchen,attack_stars,435886464,Z Xm,Z_Xm#5894,79
1.66326E+12,vs. HeIIskitchen,attack_stars,732694944,Savage1bat,â¦savage1batâ©#7887,264
1.66326E+12,vs. HeIIskitchen,attack_stars,354754647,BladeBR,Edem#5643,281
1.66326E+12,vs. HeIIskitchen,attack_stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,131
