"CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,515621617,Flywire,Flywire#662,338"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,997239157,Gryphix,Gryphix#1116,338"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,338"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,994659641,OttoVonGens,OttoVonGens#2822,338"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,992275427,Stargun inoza,stargun#1897,338"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,929389526,Tommyboy85,tommyboy#3739,338"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,473373554,Baxston Kane,Baxston Kane#5600,308"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,492994246,Chaunce,Chaunce#1601,308"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,884121445,Nom,Nom Polustra#4120,308"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,349451219,Robbie Brady,Robbie Brady#7103,308"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,494485598,TWill88,twill88#974,308"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,852762117,Revanchist,Revanchist#9559,304"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,348768169,Kal Sec,KalSec#8808,278"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,751844547,Mint,Mint#3056,278"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,245711569,Promethean,Promethean#3008,278"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,671337993,SloppySaberFlavor,Sloppysaberflavor#9142,278"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,975827772,Tornado,tornado#478,278"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,268951863,Loadage,Loadage#1450,248"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,797491243,TacoPizza,TacoPizza#2451,248"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,214848174,ilekkund,ilekkund#8475,244"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,996614779,Jables,Jables#9173,244"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,148199846,Agave,Agave#6806,218"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,545871634,Argarax,Kazrud#2235,218"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,552522334,MINI Stewabob,FupaHave#2185,218"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,144353549,Wolfman314,Wolfman314#6474,218"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,931355241,BigMacDbag,Hismeds#9705,214"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,214"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,753225541,Philo Beddoe,Handleman20#4805,214"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,667457171,B417,B417#1086,188"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,148163689,ilekkund2,ilekkund#8475,184"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,513125742,MarkKenoburger,kenoburger#9903,184"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,591283737,Maxaron Lexilon,MaxaronLexilon#3633,184"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,358932969,MINI CDangerz,CDangerz#7889,184"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,552854579,MINI Zeratoark,Zeratoark#9535,184"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,248271439,Guntha Arbos,guntha arbos#996,180"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,826592934,Zhil Axfow,Zhil Axfow#5696,158"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,732694944,NoItsBecky,NoItsBecky#3157,128"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,556569861,wamakima5004,wamakima5004#0097,128"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,825875376,Zlada14,zlada14#537,124"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,596537312,Masajj Vemtits,Masajj Vemtits#4575,94"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,589218854,Bitz Maidenhell,Bitz Maidenhell#2587,90"
"1657558800000,vs. Sicario Brotherhood,set_defense_stars,619572297,Raion Ren,raion_ren#6463,64"
"1657558800000,vs. Sicario Brotherhood,stars,687281322,Gunslinger,Gunslinger#6920,819"
"1657558800000,vs. Sicario Brotherhood,stars,994659641,OttoVonGens,OttoVonGens#2822,641"
"1657558800000,vs. Sicario Brotherhood,stars,617569541,MINI Zan Lucian,Zan Lucian#8522,622"
"1657558800000,vs. Sicario Brotherhood,stars,884121445,Nom,Nom Polustra#4120,548"
"1657558800000,vs. Sicario Brotherhood,stars,348768169,Kal Sec,KalSec#8808,532"
"1657558800000,vs. Sicario Brotherhood,stars,929389526,Tommyboy85,tommyboy#3739,527"
"1657558800000,vs. Sicario Brotherhood,stars,997239157,Gryphix,Gryphix#1116,506"
"1657558800000,vs. Sicario Brotherhood,stars,634487631,JacenCaedus,Sala#2238,488"
"1657558800000,vs. Sicario Brotherhood,stars,992275427,Stargun inoza,stargun#1897,484"
"1657558800000,vs. Sicario Brotherhood,stars,283842274,JustinAlexander11,JustinAlexander11#1023,473"
"1657558800000,vs. Sicario Brotherhood,stars,852762117,Revanchist,Revanchist#9559,460"
"1657558800000,vs. Sicario Brotherhood,stars,268951863,Loadage,Loadage#1450,444"
"1657558800000,vs. Sicario Brotherhood,stars,515621617,Flywire,Flywire#662,438"
"1657558800000,vs. Sicario Brotherhood,stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,435"
"1657558800000,vs. Sicario Brotherhood,stars,214848174,ilekkund,ilekkund#8475,426"
"1657558800000,vs. Sicario Brotherhood,stars,732694944,NoItsBecky,NoItsBecky#3157,419"
"1657558800000,vs. Sicario Brotherhood,stars,358932969,MINI CDangerz,CDangerz#7889,414"
"1657558800000,vs. Sicario Brotherhood,stars,671337993,SloppySaberFlavor,Sloppysaberflavor#9142,411"
"1657558800000,vs. Sicario Brotherhood,stars,751844547,Mint,Mint#3056,409"
"1657558800000,vs. Sicario Brotherhood,stars,492994246,Chaunce,Chaunce#1601,388"
"1657558800000,vs. Sicario Brotherhood,stars,494485598,TWill88,twill88#974,388"
"1657558800000,vs. Sicario Brotherhood,stars,667457171,B417,B417#1086,387"
"1657558800000,vs. Sicario Brotherhood,stars,513125742,MarkKenoburger,kenoburger#9903,382"
"1657558800000,vs. Sicario Brotherhood,stars,473373554,Baxston Kane,Baxston Kane#5600,368"
"1657558800000,vs. Sicario Brotherhood,stars,931355241,BigMacDbag,Hismeds#9705,366"
"1657558800000,vs. Sicario Brotherhood,stars,245711569,Promethean,Promethean#3008,358"
"1657558800000,vs. Sicario Brotherhood,stars,545871634,Argarax,Kazrud#2235,347"
"1657558800000,vs. Sicario Brotherhood,stars,797491243,TacoPizza,TacoPizza#2451,344"
"1657558800000,vs. Sicario Brotherhood,stars,552522334,MINI Stewabob,FupaHave#2185,336"
"1657558800000,vs. Sicario Brotherhood,stars,148199846,Agave,Agave#6806,316"
"1657558800000,vs. Sicario Brotherhood,stars,753225541,Philo Beddoe,Handleman20#4805,314"
"1657558800000,vs. Sicario Brotherhood,stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,313"
"1657558800000,vs. Sicario Brotherhood,stars,591283737,Maxaron Lexilon,MaxaronLexilon#3633,311"
"1657558800000,vs. Sicario Brotherhood,stars,975827772,Tornado,tornado#478,311"
"1657558800000,vs. Sicario Brotherhood,stars,349451219,Robbie Brady,Robbie Brady#7103,308"
"1657558800000,vs. Sicario Brotherhood,stars,825875376,Zlada14,zlada14#537,307"
"1657558800000,vs. Sicario Brotherhood,stars,996614779,Jables,Jables#9173,303"
"1657558800000,vs. Sicario Brotherhood,stars,144353549,Wolfman314,Wolfman314#6474,278"
"1657558800000,vs. Sicario Brotherhood,stars,976597667,joker,General*joker#2767,252"
"1657558800000,vs. Sicario Brotherhood,stars,826592934,Zhil Axfow,Zhil Axfow#5696,245"
"1657558800000,vs. Sicario Brotherhood,stars,148163689,ilekkund2,ilekkund#8475,240"
"1657558800000,vs. Sicario Brotherhood,stars,248271439,Guntha Arbos,guntha arbos#996,220"
"1657558800000,vs. Sicario Brotherhood,stars,596537312,Masajj Vemtits,Masajj Vemtits#4575,190"
"1657558800000,vs. Sicario Brotherhood,stars,589218854,Bitz Maidenhell,Bitz Maidenhell#2587,187"
"1657558800000,vs. Sicario Brotherhood,stars,552854579,MINI Zeratoark,Zeratoark#9535,184"
"1657558800000,vs. Sicario Brotherhood,stars,837163221,PluntsNBussy,PluntsNBussy#7958,179"
"1657558800000,vs. Sicario Brotherhood,stars,556569861,wamakima5004,wamakima5004#0097,158"
"1657558800000,vs. Sicario Brotherhood,stars,619572297,Raion Ren,raion_ren#6463,124"
"1657558800000,vs. Sicario Brotherhood,stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,80"
"1657558800000,vs. Sicario Brotherhood,stars,124849497,M1TTH,!M1TTH#8698,0"
