name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
T swizzle,335186653,1206795,1835022,4233422,4,12,0,4233422,1857422,3,0,FALSE,TRUE,0,40109,FALSE,TRUE,-22400,0,0,4,4,4,
xipokemastrix,242144976,1459958,2242656,5413560,6,16,0,5413560,2245560,4,0,FALSE,TRUE,0,73117,TRUE,TRUE,-2904,0,0,4,4,4,4
TacoPizza,797491243,1971691,2819515,5198502,1,12,0,5198502,2822502,3,0,FALSE,TRUE,0,24054,FALSE,TRUE,-2987,0,0,4,4,4,
Baxston Kane,473373554,2531197,3604991,6787562,3,16,0,6787562,3619562,4,1,FALSE,TRUE,0,42069,TRUE,TRUE,-14571,0,0,4,4,4,4
Vsarr,789134798,1919593,2591400,4386159,2,10,0,4386159,2594159,3,0,FALSE,TRUE,0,25384,FALSE,TRUE,-2759,0,0,3,3,4,
starshaker,343886585,2222381,2775837,5948541,11,16,0,5948541,2780541,4,1,FALSE,TRUE,0,111088,TRUE,TRUE,-4704,0,0,4,4,4,4
Neeb,648797678,2277057,3215802,5306329,3,12,0,5306329,3216829,4,1,FALSE,TRUE,0,45786,TRUE,TRUE,-1027,0,0,2,3,3,4
Zhil Axfow,826592934,2644149,3343499,5930610,9,14,0,5930610,3346610,4,1,FALSE,TRUE,0,82899,TRUE,TRUE,-3111,0,0,3,3,4,4
Wolfman,998737698,2041792,2342496,49345,5,0,0,49345,49345,0,0,FALSE,FALSE,0,49345,FALSE,FALSE,2293151,0,0,,,,
Elyana,967665728,2232466,3167651,6044919,4,15,0,6044919,3168919,4,1,FALSE,TRUE,0,37333,TRUE,TRUE,-1268,0,0,3,4,4,4
Masajj Vemtits,596537312,2388856,3263880,138628,2,0,0,138628,138628,0,1,FALSE,FALSE,0,14950,FALSE,FALSE,3125252,0,0,,,,
Calens,499477827,2244796,3443272,6320394,3,15,0,6320394,3444394,4,1,FALSE,TRUE,0,40371,TRUE,TRUE,-1122,0,0,3,4,4,4
Wolfman314,144353549,2599032,3423650,4255915,8,4,0,4255915,3463915,1,1,FALSE,TRUE,0,112109,FALSE,TRUE,-40265,0,0,4,,,
R2,821581635,2699044,3767272,750023,3,3,0,750023,250023,1,1,FALSE,FALSE,0,20968,FALSE,TRUE,3517249,0,0,3,,,
R2,821581635,2699044,3767272,750023,3,3,0,750023,250023,1,1,FALSE,FALSE,0,20968,FALSE,TRUE,3517249,0,0,3,,,
ONE,873729113,2431574,3521628,5319152,3,11,0,5319152,3521652,4,1,FALSE,TRUE,0,42752,TRUE,TRUE,-24,0,0,2,3,3,3
ExcellentNutAlt,439645938,949188,1323413,17981,2,0,0,17981,17981,0,0,FALSE,FALSE,0,17981,FALSE,FALSE,1305432,0,0,,,,
Elrohir Halfelven,466659739,840700,1500260,3586255,1,11,0,3586255,1502255,3,0,FALSE,TRUE,0,4381,FALSE,TRUE,-1995,0,0,3,4,4,
Elrohir Halfelven,466659739,840700,1500260,3586255,1,11,0,3586255,1502255,3,0,FALSE,TRUE,0,4381,FALSE,TRUE,-1995,0,0,3,4,4,
Greeve,988959612,2439817,3620389,6789922,1,16,0,6789922,3621922,4,1,FALSE,TRUE,0,25452,TRUE,TRUE,-1533,0,0,4,4,4,4
Larping Soccer Moms,962753997,1385436,1808712,4684910,0,15,0,4684910,1808910,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-198,0,0,3,4,4,4
Snake,423813339,951450,1459216,4656,1,0,0,4656,4656,0,0,FALSE,FALSE,0,4656,FALSE,FALSE,1454560,0,0,,,,
HiddenWolf,869432175,2402906,3222054,5203960,5,11,0,5203960,3224460,4,0,FALSE,TRUE,0,78294,TRUE,TRUE,-2406,0,0,1,3,3,4
Elros Halfelven,592184954,2542205,3456881,6339089,0,15,0,6339089,3463089,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-6208,0,0,3,4,4,4
Guntha Arbos,248271439,2420449,3437902,6002143,2,13,0,6002143,3438643,4,1,FALSE,TRUE,0,36816,TRUE,TRUE,-741,0,0,1,4,4,4
Spectrum,411242948,1928593,2228811,5105990,9,15,0,5105990,2229990,4,1,FALSE,TRUE,0,130251,TRUE,TRUE,-1179,0,0,3,4,4,4
Higgs,265535499,2127111,3052138,5344161,6,13,0,5344161,3052161,4,0,FALSE,TRUE,0,78364,TRUE,TRUE,-23,0,0,3,3,3,4
Corran Horn,159984528,1772148,2605137,2787183,2,13,0,2787183,495183,4,0,FALSE,FALSE,0,16842,TRUE,TRUE,2109954,0,0,3,3,3,4
Stewabob,552522334,1276557,1766502,1039486,3,4,0,1039486,247486,1,1,FALSE,FALSE,0,29276,FALSE,TRUE,1519016,0,0,4,,,
Diesel87,626734493,1572995,2565545,5441691,5,15,0,5441691,2565691,4,0,FALSE,TRUE,0,108328,TRUE,TRUE,-146,0,0,3,4,4,4
Zaphod,523832521,1856507,3023911,5113478,0,12,0,5113478,3023978,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-67,0,0,2,3,3,4
Kypomm,631928359,2590343,3454433,6331630,0,15,0,6331630,3455630,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-1197,0,0,3,4,4,4
Dark Penguin,894569678,1668601,2178583,5347417,0,16,0,5347417,2179417,4,0,FALSE,TRUE,0,0,TRUE,TRUE,-834,0,0,4,4,4,4
Tommy,225191489,1062650,1974101,3266101,1,7,0,3266101,1974101,2,0,FALSE,TRUE,0,4656,FALSE,TRUE,0,0,0,3,4,,
AKB,461667365,2265625,3235659,5611659,4,12,0,5611659,3235659,4,1,FALSE,TRUE,0,82990,TRUE,TRUE,0,0,0,4,4,4,0
Argarax,545871634,1572219,2585739,2955989,4,12,0,2955989,579989,3,1,FALSE,FALSE,0,66485,FALSE,TRUE,2005750,0,0,4,4,4,
Maxaron Lexilon,591283737,2620726,3427399,6304426,0,15,0,6304426,3428426,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-1027,0,0,3,4,4,4
akb2,991413647,884059,1336813,3336813,0,12,0,3336813,1336813,4,0,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,3,3,3,3
akb2,991413647,884059,1336813,3336813,0,12,0,3336813,1336813,4,0,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,3,3,3,3
Quinton Samulson,334914382,1521682,2188451,889276,0,4,0,889276,97276,1,0,FALSE,FALSE,0,0,FALSE,TRUE,2091175,0,0,4,,,
M1TTH,124849497,1881475,2488310,5364310,0,15,0,5364310,2488310,4,0,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4
Indeedus,636721338,1774817,2783290,5054790,0,12,0,5054790,2783290,4,0,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,1,3,4,4
