name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Corran Horn,159984528,1772148,2605137,8697822,24,17,1,5910639,4377639,3,1,TRUE,TRUE,212042,185710,FALSE,FALSE,0,0,0,3,,,,,1,
Stewabob,552522334,1276557,1766502,6332632,7,15,0,5293146,1640646,4,0,TRUE,FALSE,0,41412,FALSE,FALSE,1402413,0,0,2,4,4,,,,1
Diesel87,626734493,1572995,2565545,16133736,35,36,1,10692045,4143045,7,0,TRUE,TRUE,404738,333277,TRUE,TRUE,0,0,0,4,4,4,4,4,1,0
Zaphod,523832521,1856507,3023911,15360304,1,31,0,10246826,4894826,6,1,TRUE,TRUE,0,14788,TRUE,FALSE,0,0,0,3,4,4,4,4,,
Kypomm,631928359,2590343,3454433,15985184,0,35,0,9653554,3229054,7,1,TRUE,FALSE,0,0,TRUE,TRUE,2815722,0,0,3,4,4,4,4,0,1
Dark Penguin,894569678,1668601,2178583,16444935,5,37,0,11097518,3848018,7,0,TRUE,TRUE,124663,71404,TRUE,TRUE,0,0,0,3,4,4,4,4,1,1
Tommy,225191489,1062650,1974101,10250852,3,22,0,6984751,3036751,5,0,TRUE,TRUE,0,24387,FALSE,FALSE,0,0,0,,,,,,,
AKB,461667365,2265625,3235659,17292868,10,32,0,11681209,5504209,7,1,TRUE,TRUE,88266,44770,TRUE,TRUE,0,0,0,3,4,4,4,4,1,0
Argarax,545871634,1572219,2585739,12840629,9,32,0,9884640,4160640,6,0,TRUE,TRUE,0,90270,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Maxaron Lexilon,591283737,2620726,3427399,14716998,0,33,0,8412572,3432572,5,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2615553,0,3,3,4,4,4,,
akb2,991413647,884059,1336813,7211309,5,22,0,3874496,1396496,4,0,FALSE,TRUE,59089,46903,FALSE,FALSE,0,824376,0,1,2,3,4,,,
akb2,991413647,884059,1336813,7211309,5,22,0,3874496,1396496,4,0,FALSE,TRUE,59089,46903,FALSE,FALSE,0,824376,0,1,2,3,4,,,
Quinton Samulson,334914382,1521682,2188451,7632409,0,14,0,6743133,3710133,4,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,3,4,,,1,
M1TTH,124849497,1881475,2488310,12974095,3,27,0,7609785,4369785,4,0,TRUE,TRUE,24729,25357,FALSE,FALSE,0,0,0,,,,,,,
Indeedus,636721338,1774817,2783290,9631642,3,19,0,4576852,2788852,3,1,FALSE,TRUE,0,39383,FALSE,FALSE,0,1769255,0,3,4,,,,,
